RowNumber,LongestStretch,Genotype
165,0,ColT1EVD95
88,0,ColT1EVD95
627,0,ColT1EVD95
81,0,ColT1EVD95
240,0,ColT1EVD95
241,0,ColT1EVD95
151,0,ColT1EVD95
243,0,ColT1EVD95
621,0,ColT1EVD95
72,0,ColT1EVD95
263,0,ColT1EVD95
61,0,ColT1EVD95
268,0,ColT1EVD95
57,0,ColT1EVD95
56,0,ColT1EVD95
55,0,ColT1EVD95
656,0,ColT1EVD95
438,0,ColT1EVD95
619,0,ColT1EVD95
100,0,ColT1EVD95
455,0,ColT1EVD95
158,0,ColT1EVD95
147,0,ColT1EVD95
562,0,ColT1EVD95
173,0,ColT1EVD95
174,0,ColT1EVD95
175,0,ColT1EVD95
537,0,ColT1EVD95
512,0,ColT1EVD95
595,0,ColT1EVD95
596,0,ColT1EVD95
498,0,ColT1EVD95
491,0,ColT1EVD95
116,0,ColT1EVD95
111,0,ColT1EVD95
605,0,ColT1EVD95
606,0,ColT1EVD95
457,0,ColT1EVD95
657,0,ColT1EVD95
660,0,ColT1EVD95
242,0,ColT1EVD95
152,0,ColT1EVD95
357,0,ColT1EVD95
701,0,ColT1EVD95
702,0,ColT1EVD95
365,0,ColT1EVD95
706,0,ColT1EVD95
378,0,ColT1EVD95
688,0,ColT1EVD95
337,1,ColT1EVD95
604,1,ColT1EVD95
112,1,ColT1EVD95
700,1,ColT1EVD95
698,1,ColT1EVD95
464,1,ColT1EVD95
338,1,ColT1EVD95
574,1,ColT1EVD95
486,1,ColT1EVD95
229,1,ColT1EVD95
231,1,ColT1EVD95
97,1,ColT1EVD95
452,1,ColT1EVD95
94,1,ColT1EVD95
354,1,ColT1EVD95
622,1,ColT1EVD95
623,1,ColT1EVD95
230,1,ColT1EVD95
709,1,ColT1EVD95
336,1,ColT1EVD95
200,1,ColT1EVD95
707,1,ColT1EVD95
146,1,ColT1EVD95
536,1,ColT1EVD95
526,1,ColT1EVD95
524,1,ColT1EVD95
134,1,ColT1EVD95
523,1,ColT1EVD95
494,1,ColT1EVD95
521,1,ColT1EVD95
704,1,ColT1EVD95
507,1,ColT1EVD95
499,1,ColT1EVD95
711,1,ColT1EVD95
594,1,ColT1EVD95
626,1,ColT1EVD95
148,1,ColT1EVD95
520,1,ColT1EVD95
703,1,ColT1EVD95
661,1,ColT1EVD95
237,1,ColT1EVD95
420,1,ColT1EVD95
308,1,ColT1EVD95
650,1,ColT1EVD95
262,1,ColT1EVD95
63,1,ColT1EVD95
672,1,ColT1EVD95
376,1,ColT1EVD95
54,1,ColT1EVD95
53,1,ColT1EVD95
389,1,ColT1EVD95
387,1,ColT1EVD95
379,1,ColT1EVD95
386,1,ColT1EVD95
280,1,ColT1EVD95
381,1,ColT1EVD95
43,1,ColT1EVD95
42,1,ColT1EVD95
645,1,ColT1EVD95
362,1,ColT1EVD95
344,1,ColT1EVD95
356,1,ColT1EVD95
244,1,ColT1EVD95
633,1,ColT1EVD95
238,1,ColT1EVD95
643,1,ColT1EVD95
639,1,ColT1EVD95
239,1,ColT1EVD95
682,1,ColT1EVD95
355,1,ColT1EVD95
687,1,ColT1EVD95
80,1,ColT1EVD95
642,1,ColT1EVD95
466,2,ColT1EVD95
535,2,ColT1EVD95
405,2,ColT1EVD95
325,2,ColT1EVD95
542,2,ColT1EVD95
279,2,ColT1EVD95
286,2,ColT1EVD95
161,2,ColT1EVD95
448,2,ColT1EVD95
391,2,ColT1EVD95
340,2,ColT1EVD95
291,2,ColT1EVD95
322,2,ColT1EVD95
358,2,ColT1EVD95
251,2,ColT1EVD95
471,2,ColT1EVD95
257,2,ColT1EVD95
323,2,ColT1EVD95
201,2,ColT1EVD95
218,2,ColT1EVD95
187,2,ColT1EVD95
456,2,ColT1EVD95
339,2,ColT1EVD95
228,2,ColT1EVD95
409,2,ColT1EVD95
372,2,ColT1EVD95
191,2,ColT1EVD95
519,2,ColT1EVD95
408,2,ColT1EVD95
324,2,ColT1EVD95
261,2,ColT1EVD95
360,2,ColT1EVD95
75,2,ColT1EVD95
683,2,ColT1EVD95
679,2,ColT1EVD95
135,2,ColT1EVD95
678,2,ColT1EVD95
131,2,ColT1EVD95
59,2,ColT1EVD95
51,2,ColT1EVD95
110,2,ColT1EVD95
671,2,ColT1EVD95
670,2,ColT1EVD95
593,2,ColT1EVD95
50,2,ColT1EVD95
46,2,ColT1EVD95
71,2,ColT1EVD95
669,2,ColT1EVD95
598,2,ColT1EVD95
118,2,ColT1EVD95
686,2,ColT1EVD95
583,2,ColT1EVD95
586,2,ColT1EVD95
699,2,ColT1EVD95
616,2,ColT1EVD95
705,2,ColT1EVD95
580,2,ColT1EVD95
620,2,ColT1EVD95
581,2,ColT1EVD95
70,2,ColT1EVD95
12,2,ColT1EVD95
44,3,ColT1EVD95
246,3,ColT1EVD95
603,3,ColT1EVD95
640,3,ColT1EVD95
434,3,ColT1EVD95
636,3,ColT1EVD95
425,3,ColT1EVD95
236,3,ColT1EVD95
227,3,ColT1EVD95
60,3,ColT1EVD95
256,3,ColT1EVD95
411,3,ColT1EVD95
613,3,ColT1EVD95
221,3,ColT1EVD95
68,3,ColT1EVD95
99,3,ColT1EVD95
101,3,ColT1EVD95
662,3,ColT1EVD95
651,3,ColT1EVD95
224,3,ColT1EVD95
225,3,ColT1EVD95
226,3,ColT1EVD95
602,3,ColT1EVD95
576,3,ColT1EVD95
176,3,ColT1EVD95
573,3,ColT1EVD95
334,3,ColT1EVD95
1,3,ColT1EVD95
578,3,ColT1EVD95
