stretch,Genotype
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
0,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
1,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
2,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
3,Col T1 EVD 95
